year,nao_oct_dec
1950,-0.4766666666666667
1951,0.9333333333333333
1952,-0.7633333333333333
1953,0.63
1954,0.5633333333333334
1955,-0.8633333333333333
1956,0.4966666666666667
1957,0.7233333333333334
1958,0.36666666666666664
1959,0.58
1960,-0.7266666666666667
1961,-0.53
1962,-0.38
1963,-0.75
1964,0.19333333333333333
1965,0.030000000000000065
1966,-2.5460681017201263e-17
1967,0.07333333333333332
1968,-1.5433333333333332
1969,-0.19333333333333333
1970,-0.9066666666666666
1971,0.32666666666666666
1972,0.6066666666666667
1973,-0.6166666666666667
1974,0.48333333333333334
1975,-0.043333333333333356
1976,-0.5033333333333334
1977,-0.18333333333333332
1978,1.1333333333333333
1979,0.41000000000000003
1980,-0.4533333333333333
1981,-0.5833333333333334
1982,0.88
1983,-0.013333333333333327
1984,-0.043333333333333335
1985,0.15
1986,1.61
1987,0.21333333333333335
1988,-0.27
1989,-0.33999999999999997
1990,0.07
1991,0.25
1992,-0.03333333333333336
1993,1.1366666666666667
1994,0.5633333333333334
1995,-0.9533333333333333
1996,-0.7666666666666666
1997,-1.1866666666666665
1998,0.09999999999999999
1999,0.8200000000000001
2000,-0.19333333333333333
2001,-0.14666666666666664
2002,-1.1333333333333333
2003,0.08
2004,0.27999999999999997
2005,-0.5766666666666667
2006,-0.15683333333333332
2007,0.4552333333333333
2008,-0.2132666666666667
2009,-0.9942333333333333
2010,-1.4637666666666667
2011,1.425
2012,-0.8231999999999999
2013,0.1888
2014,0.42163333333333336
2015,1.4748666666666665
2016,0.24196666666666666
2017,0.3542
2018,0.4782666666666667
2019,0.022233333333333345
2020,0.5291333333333335
2021,-0.7286666666666666
2022,-0.056966666666666665
2023,-0.1373666666666666
2024,0.1998666666666667
2025,-0.87155
